Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID
SPANXA2,,,cancer-testis antigen,ENSG00000203926
SPANXB1,,,cancer-testis antigen,ENSG00000227234
SPANXC,,,cancer-testis antigen,ENSG00000198573
SPANXD,,,cancer-testis antigen,ENSG00000196406
SPANXN1,,,cancer-testis antigen,ENSG00000203923
SPANXN2,,,cancer-testis antigen,ENSG00000268988
SPANXN3,,,cancer-testis antigen,ENSG00000189252
SPANXN4,,,cancer-testis antigen,ENSG00000189326
SPANXN5,,,cancer-testis antigen,ENSG00000204363
ODF1,,,cancer-testis antigen,ENSG00000155087
ODF3,,,cancer-testis antigen,ENSG00000177947
ODF4,,,cancer-testis antigen,ENSG00000184650
ROPN1B,,,cancer-testis antigen,ENSG00000114547
SPAM1,,,cancer-testis antigen,ENSG00000106304
SPATA4,,,cancer-testis antigen,ENSG00000150628
SPATA12,,,cancer-testis antigen,ENSG00000186451
SPATA16,,,cancer-testis antigen,ENSG00000144962
SPATA19,,,cancer-testis antigen,ENSG00000166118
SPATA22,,,cancer-testis antigen,ENSG00000141255
SPATA31E1,,,cancer-testis antigen,ENSG00000177992
SPATA31A1,,,cancer-testis antigen,ENSG00000204849
SPATA31A3,,,cancer-testis antigen,ENSG00000275969
SPATA31A5,,,cancer-testis antigen,ENSG00000276581
SPATA31A6,,,cancer-testis antigen,ENSG00000185775
SPATA31A7,,,cancer-testis antigen,ENSG00000276040
SPATA31D3,,,cancer-testis antigen,ENSG00000186788
SPATA31D4,,,cancer-testis antigen,ENSG00000189357
SPATA32,,,cancer-testis antigen,ENSG00000184361
SPACA1,,,cancer-testis antigen,ENSG00000118434
SPACA3,,,cancer-testis antigen,ENSG00000141316
CATSPERD,,,cancer-testis antigen,ENSG00000174898
CATSPER4,,,cancer-testis antigen,ENSG00000188782
CTAG1A,,,cancer-testis antigen,ENSG00000268651
CTAG1B,,,cancer-testis antigen,ENSG00000184033
CTAGE1,,,cancer-testis antigen,ENSG00000212710
CTAGE6,,,cancer-testis antigen,ENSG00000271321
CTAGE9,,,cancer-testis antigen,ENSG00000236761
SSX1,,,cancer-testis antigen,ENSG00000126752
SSX2,,,cancer-testis antigen,ENSG00000241476
SSX2B,,,cancer-testis antigen,ENSG00000268447
SSX3,,,cancer-testis antigen,ENSG00000165584
SSX4,,,cancer-testis antigen,ENSG00000268009
TSPY1,,,cancer-testis antigen,ENSG00000258992
TSPY2,,,cancer-testis antigen,ENSG00000168757
TSPY3,,,cancer-testis antigen,ENSG00000228927
TSPY4,,,cancer-testis antigen,ENSG00000233803
TSPY8,,,cancer-testis antigen,ENSG00000229549
TSPY9P,TSPY9,,cancer-testis antigen,ENSG00000238074
TSPY10,,,cancer-testis antigen,ENSG00000236424
TSPYL6,,,cancer-testis antigen,ENSG00000178021
MORC1,,,cancer-testis antigen,ENSG00000114487
TFDP3,,,cancer-testis antigen,ENSG00000183434
LUZP4,,,cancer-testis antigen,ENSG00000102021
DKKL1,,,cancer-testis antigen,ENSG00000104901
SPO11,,,cancer-testis antigen,ENSG00000054796
CRISP2,,,cancer-testis antigen,ENSG00000124490
FMR1NB,,,cancer-testis antigen,ENSG00000176988
TPTE,,,cancer-testis antigen,ENSG00000274391
CT45A2,,,cancer-testis antigen,ENSG00000271449
CT45A7,,,cancer-testis antigen,ENSG00000273696
CT47A1,,,cancer-testis antigen,ENSG00000236371
CT47A2,,,cancer-testis antigen,ENSG00000242362
CT47A3,,,cancer-testis antigen,ENSG00000236126
CT47A4,,,cancer-testis antigen,ENSG00000230594
CT47A5,,,cancer-testis antigen,ENSG00000237957
CT47A6,,,cancer-testis antigen,ENSG00000226023
CT47A7,,,cancer-testis antigen,ENSG00000228517
CT47A11,,,cancer-testis antigen,ENSG00000226929
CT47A12,,,cancer-testis antigen,ENSG00000226685
CT47B1,,,cancer-testis antigen,ENSG00000236446
CT83,,,cancer-testis antigen,ENSG00000204019
TEX13A,,,cancer-testis antigen,ENSG00000268629
TEX19,,,cancer-testis antigen,ENSG00000182459
TEX33,,,cancer-testis antigen,ENSG00000185264
TEX35,,,cancer-testis antigen,ENSG00000240021
TEX37,,,cancer-testis antigen,ENSG00000172073
TEX38,,,cancer-testis antigen,ENSG00000186118
TEX44,,,cancer-testis antigen,ENSG00000177673
TEX101,,,cancer-testis antigen,ENSG00000131126
PATE1,,,cancer-testis antigen,ENSG00000171053
PATE4,,,cancer-testis antigen,ENSG00000237353
PRSS54,,,cancer-testis antigen,ENSG00000103023
PHF7,,,cancer-testis antigen,ENSG00000010318
SLCO6A1,,,cancer-testis antigen,ENSG00000205359
TEKT5,,,cancer-testis antigen,ENSG00000153060
DMRT1,,,cancer-testis antigen,ENSG00000137090
DMRTC2,,,cancer-testis antigen,ENSG00000142025
DNAJB8,,,cancer-testis antigen,ENSG00000179407
SAGE1,,,cancer-testis antigen,ENSG00000181433
LIPI,,,cancer-testis antigen,ENSG00000188992
ADAM2,,,cancer-testis antigen,ENSG00000104755
PLAC1,,,cancer-testis antigen,ENSG00000170965
CABS1,,,cancer-testis antigen,ENSG00000145309
FATE1,,,cancer-testis antigen,ENSG00000147378
HORMAD1,,,cancer-testis antigen,ENSG00000143452
ACRBP,,,cancer-testis antigen,ENSG00000111644
TSKS,,,cancer-testis antigen,ENSG00000126467
CCDC42,,,cancer-testis antigen,ENSG00000161973
ADAD1,,,cancer-testis antigen,ENSG00000164113
RIMBP3,,,cancer-testis antigen,ENSG00000275793
TENT5D,,,cancer-testis antigen,ENSG00000174016
PRAME,,,cancer-testis antigen,ENSG00000185686
PRAMEF18,,,cancer-testis antigen,ENSG00000279804
PRAMEF20,,,cancer-testis antigen,ENSG00000204478
CBLL2,,,cancer-testis antigen,ENSG00000175809
CPXCR1,,,cancer-testis antigen,ENSG00000147183
TULP2,,,cancer-testis antigen,ENSG00000104804
EPPIN,,,cancer-testis antigen,ENSG00000101448
ACTL8,,,cancer-testis antigen,ENSG00000117148
SPEM1,,,cancer-testis antigen,ENSG00000181323
THEG,,,cancer-testis antigen,ENSG00000105549
PRM1,,,cancer-testis antigen,ENSG00000175646
PRM2,,,cancer-testis antigen,ENSG00000122304
PRM3,,,cancer-testis antigen,ENSG00000178257
AKAP4,,,cancer-testis antigen,ENSG00000147081
TNP2,,,cancer-testis antigen,ENSG00000178279
CGB8,,,cancer-testis antigen,ENSG00000213030
PSG9,,,cancer-testis antigen,ENSG00000183668
PSG8,,,cancer-testis antigen,ENSG00000124467
PSG11,,,cancer-testis antigen,ENSG00000243130
PSG1,,,cancer-testis antigen,ENSG00000231924
PSG3,,,cancer-testis antigen,ENSG00000221826
CSH2,,,cancer-testis antigen,ENSG00000213218
PSG5,,,cancer-testis antigen,ENSG00000204941
TRIM64,,,cancer-testis antigen,ENSG00000204450
EGFL6,,,cancer-testis antigen,ENSG00000198759
LIN28B,,,cancer-testis antigen,ENSG00000187772
